County,State,CenReg,CenDiv,EMMReg
1001,1,3,6,14
1003,1,3,6,14
1005,1,3,6,14
1007,1,3,6,15
1009,1,3,6,14
1011,1,3,6,14
1013,1,3,6,14
1015,1,3,6,14
1017,1,3,6,14
1019,1,3,6,15
1021,1,3,6,14
1023,1,3,6,14
1025,1,3,6,14
1027,1,3,6,14
1029,1,3,6,14
1031,1,3,6,14
1033,1,3,6,15
1035,1,3,6,14
1037,1,3,6,14
1039,1,3,6,14
1041,1,3,6,14
1043,1,3,6,15
1045,1,3,6,14
1047,1,3,6,14
1049,1,3,6,15
1051,1,3,6,14
1053,1,3,6,14
1055,1,3,6,14
1057,1,3,6,14
1059,1,3,6,15
1061,1,3,6,14
1063,1,3,6,14
1065,1,3,6,14
1067,1,3,6,14
1069,1,3,6,14
1071,1,3,6,15
1073,1,3,6,14
1075,1,3,6,14
1077,1,3,6,15
1079,1,3,6,15
1081,1,3,6,14
1083,1,3,6,15
1085,1,3,6,14
1087,1,3,6,14
1089,1,3,6,15
1091,1,3,6,14
1093,1,3,6,14
1095,1,3,6,15
1097,1,3,6,14
1099,1,3,6,14
1101,1,3,6,14
1103,1,3,6,15
1105,1,3,6,14
1107,1,3,6,15
1109,1,3,6,14
1111,1,3,6,14
1113,1,3,6,14
1115,1,3,6,14
1117,1,3,6,14
1119,1,3,6,15
1121,1,3,6,14
1123,1,3,6,14
1125,1,3,6,14
1127,1,3,6,14
1129,1,3,6,14
1131,1,3,6,14
1133,1,3,6,14
4001,4,4,4,21
4003,4,4,4,19
4005,4,4,4,19
4007,4,4,4,19
4009,4,4,4,19
4011,4,4,4,19
4012,4,4,4,19
4013,4,4,4,19
4015,4,4,4,19
4017,4,4,4,21
4019,4,4,4,19
4021,4,4,4,19
4023,4,4,4,19
4025,4,4,4,19
4027,4,4,4,19
5001,5,3,7,12
5003,5,3,7,12
5005,5,3,7,12
5007,5,3,7,18
5009,5,3,7,12
5011,5,3,7,12
5013,5,3,7,12
5015,5,3,7,12
5017,5,3,7,12
5019,5,3,7,12
5021,5,3,7,12
5023,5,3,7,12
5025,5,3,7,12
5027,5,3,7,12
5029,5,3,7,12
5031,5,3,7,12
5033,5,3,7,12
5035,5,3,7,12
5037,5,3,7,12
5039,5,3,7,12
5041,5,3,7,12
5043,5,3,7,12
5045,5,3,7,12
5047,5,3,7,18
5049,5,3,7,12
5051,5,3,7,12
5053,5,3,7,12
5055,5,3,7,12
5057,5,3,7,12
5059,5,3,7,12
5061,5,3,7,18
5063,5,3,7,12
5065,5,3,7,12
5067,5,3,7,12
5069,5,3,7,12
5071,5,3,7,18
5073,5,3,7,12
5075,5,3,7,12
5077,5,3,7,12
5079,5,3,7,12
5081,5,3,7,18
5083,5,3,7,12
5085,5,3,7,12
5087,5,3,7,12
5089,5,3,7,12
5091,5,3,7,12
5093,5,3,7,12
5095,5,3,7,12
5097,5,3,7,12
5099,5,3,7,12
5101,5,3,7,12
5103,5,3,7,12
5105,5,3,7,12
5107,5,3,7,12
5109,5,3,7,12
5111,5,3,7,12
5113,5,3,7,12
5115,5,3,7,12
5117,5,3,7,12
5119,5,3,7,12
5121,5,3,7,12
5123,5,3,7,12
5125,5,3,7,12
5127,5,3,7,12
5129,5,3,7,12
5131,5,3,7,12
5133,5,3,7,18
5135,5,3,7,12
5137,5,3,7,12
5139,5,3,7,12
5141,5,3,7,12
5143,5,3,7,18
5145,5,3,7,12
5147,5,3,7,12
5149,5,3,7,12
6001,6,4,9,20
6003,6,4,9,20
6005,6,4,9,20
6007,6,4,9,20
6009,6,4,9,20
6011,6,4,9,20
6013,6,4,9,20
6015,6,4,9,21
6017,6,4,9,20
6019,6,4,9,20
6021,6,4,9,20
6023,6,4,9,20
6025,6,4,9,19
6027,6,4,9,20
6029,6,4,9,20
6031,6,4,9,20
6033,6,4,9,20
6035,6,4,9,20
6037,6,4,9,20
6039,6,4,9,20
6041,6,4,9,20
6043,6,4,9,20
6045,6,4,9,20
6047,6,4,9,20
6049,6,4,9,21
6051,6,4,9,20
6053,6,4,9,20
6055,6,4,9,20
6057,6,4,9,20
6059,6,4,9,20
6061,6,4,9,20
6063,6,4,9,20
6065,6,4,9,19
6067,6,4,9,20
6069,6,4,9,20
6071,6,4,9,20
6073,6,4,9,20
6075,6,4,9,20
6077,6,4,9,20
6079,6,4,9,20
6081,6,4,9,20
6083,6,4,9,20
6085,6,4,9,20
6087,6,4,9,20
6089,6,4,9,20
6091,6,4,9,20
6093,6,4,9,21
6095,6,4,9,20
6097,6,4,9,20
6099,6,4,9,20
6101,6,4,9,20
6103,6,4,9,20
6105,6,4,9,20
6107,6,4,9,20
6109,6,4,9,20
6111,6,4,9,20
6113,6,4,9,20
6115,6,4,9,20
8001,8,4,8,22
8003,8,4,8,22
8005,8,4,8,22
8007,8,4,8,22
8009,8,4,8,22
8011,8,4,8,22
8013,8,4,8,22
8014,8,4,8,22
8015,8,4,8,22
8017,8,4,8,22
8019,8,4,8,22
8021,8,4,8,22
8023,8,4,8,22
8025,8,4,8,22
8027,8,4,8,22
8029,8,4,8,22
8031,8,4,8,22
8033,8,4,8,22
8035,8,4,8,22
8037,8,4,8,22
8039,8,4,8,22
8041,8,4,8,22
8043,8,4,8,22
8045,8,4,8,22
8047,8,4,8,22
8049,8,4,8,22
8051,8,4,8,22
8053,8,4,8,22
8055,8,4,8,22
8057,8,4,8,22
8059,8,4,8,22
8061,8,4,8,22
8063,8,4,8,22
8065,8,4,8,22
8067,8,4,8,22
8069,8,4,8,22
8071,8,4,8,22
8073,8,4,8,22
8075,8,4,8,22
8077,8,4,8,22
8079,8,4,8,22
8081,8,4,8,22
8083,8,4,8,22
8085,8,4,8,22
8087,8,4,8,22
8089,8,4,8,22
8091,8,4,8,22
8093,8,4,8,22
8095,8,4,8,22
8097,8,4,8,22
8099,8,4,8,22
8101,8,4,8,22
8103,8,4,8,22
8105,8,4,8,22
8107,8,4,8,22
8109,8,4,8,22
8111,8,4,8,22
8113,8,4,8,22
8115,8,4,8,22
8117,8,4,8,22
8119,8,4,8,22
8121,8,4,8,22
8123,8,4,8,22
8125,8,4,8,22
9001,9,1,1,5
9003,9,1,1,5
9005,9,1,1,5
9007,9,1,1,5
9009,9,1,1,5
9011,9,1,1,5
9013,9,1,1,5
9015,9,1,1,5
10001,10,3,5,9
10003,10,3,5,9
10005,10,3,5,9
11001,11,3,5,9
12001,12,3,5,2
12003,12,3,5,14
12005,12,3,5,14
12007,12,3,5,2
12009,12,3,5,2
12011,12,3,5,2
12013,12,3,5,14
12015,12,3,5,2
12017,12,3,5,2
12019,12,3,5,2
12021,12,3,5,2
12023,12,3,5,2
12027,12,3,5,2
12029,12,3,5,2
12031,12,3,5,2
12033,12,3,5,14
12035,12,3,5,2
12037,12,3,5,2
12039,12,3,5,2
12041,12,3,5,2
12043,12,3,5,2
12045,12,3,5,14
12047,12,3,5,2
12049,12,3,5,2
12051,12,3,5,2
12053,12,3,5,2
12055,12,3,5,2
12057,12,3,5,2
12059,12,3,5,14
12061,12,3,5,2
12063,12,3,5,14
12065,12,3,5,2
12067,12,3,5,2
12069,12,3,5,2
12071,12,3,5,2
12073,12,3,5,2
12075,12,3,5,2
12077,12,3,5,2
12079,12,3,5,2
12081,12,3,5,2
12083,12,3,5,2
12085,12,3,5,2
12086,12,3,5,2
12087,12,3,5,2
12089,12,3,5,14
12091,12,3,5,14
12093,12,3,5,2
12095,12,3,5,2
12097,12,3,5,2
12099,12,3,5,2
12101,12,3,5,2
12103,12,3,5,2
12105,12,3,5,2
12107,12,3,5,2
12109,12,3,5,2
12111,12,3,5,2
12113,12,3,5,14
12115,12,3,5,2
12117,12,3,5,2
12119,12,3,5,2
12121,12,3,5,2
12123,12,3,5,2
12125,12,3,5,2
12127,12,3,5,2
12129,12,3,5,2
12131,12,3,5,14
12133,12,3,5,14
13001,13,3,5,14
13003,13,3,5,14
13005,13,3,5,14
13007,13,3,5,14
13009,13,3,5,14
13011,13,3,5,14
13013,13,3,5,14
13015,13,3,5,14
13017,13,3,5,14
13019,13,3,5,14
13021,13,3,5,14
13023,13,3,5,14
13025,13,3,5,14
13027,13,3,5,14
13029,13,3,5,14
13031,13,3,5,14
13033,13,3,5,14
13035,13,3,5,14
13037,13,3,5,14
13039,13,3,5,14
13043,13,3,5,14
13045,13,3,5,14
13047,13,3,5,14
13049,13,3,5,14
13051,13,3,5,14
13053,13,3,5,14
13055,13,3,5,15
13057,13,3,5,14
13059,13,3,5,14
13061,13,3,5,14
13063,13,3,5,14
13065,13,3,5,14
13067,13,3,5,14
13069,13,3,5,14
13071,13,3,5,14
13073,13,3,5,14
13075,13,3,5,14
13077,13,3,5,14
13079,13,3,5,14
13081,13,3,5,14
13083,13,3,5,14
13085,13,3,5,14
13087,13,3,5,14
13089,13,3,5,14
