TableNumber,RowNum,RegionNum,GLabel,Gunits,SubDat,Sector,emis_units,NEMS_sector,SubSec,Source,SubSrc,Geogr,emis_2050,emis,emis_ave_2010-2015,emis_2020,emis_2030,emis_2040
4,38,1,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,new england,5.24964705954789,NOX,5.57889126147104,5.66708559568199,5.58986075495078,5.4409195389068
4,38,2,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,middle atlantic,20.9469146815042,NOX,23.6356620977132,23.7124208935162,22.772658602153,21.8564187206827
4,38,3,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,east north central,30.3370086670823,NOX,37.4321147897181,35.6743036783418,33.5723813978546,31.9041409532121
4,38,4,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,west north central,11.9404506158555,NOX,11.6608905850128,11.5242619977992,11.6350230542231,11.8190625002736
4,38,5,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,south atlantic,11.3064692940904,NOX,11.101321978219,10.9899123856508,11.053730927866,11.1273766894031
4,38,6,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,east south central,3.81709409304413,NOX,5.04422377275923,4.62095819713666,4.31552756923745,4.04460085425579
4,38,7,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,west south central,7.11278190760638,NOX,7.00660748216382,6.55054990280407,6.78132650606033,6.94834717695437
4,38,8,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,mountain,11.1217198000975,NOX,9.46677501975033,9.65316202451791,10.1583949473209,10.6519565813793
4,38,9,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,pacific,11.4088460168979,NOX,12.2047747054066,12.2409436840639,11.8850862269802,11.6374651699782
4,38,1,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,new england,0.0290406007301463,PM10.PRI,0.0308619516328467,0.0313498351833843,0.0309226339371509,0.0300987038065474
4,38,2,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,middle atlantic,0.115876549202984,PM10.PRI,0.130750471067184,0.13117509419254,0.125976409180927,0.120907848138824
4,38,3,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,east north central,0.167821749929909,PM10.PRI,0.207071273127993,0.197347211669109,0.185719556510386,0.176490992356415
4,38,4,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,west north central,0.0660535565419426,PM10.PRI,0.0645070542449843,0.0637512365291292,0.0643639572662699,0.0653820478180205
4,38,5,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,south atlantic,0.0625464258287904,PM10.PRI,0.0614115683377048,0.060795259953811,0.0611482986976788,0.0615557007824298
4,38,6,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,east south central,0.0211158396456164,PM10.PRI,0.0279042165914348,0.0255627474516925,0.0238731312136929,0.022374387685287
4,38,7,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,west south central,0.0393473041361365,PM10.PRI,0.0387599562512111,0.0362370845377585,0.0375137210653199,0.0384376652013915
4,38,8,Residential : Natural Gas : Space Heating,quads,,residential,ktonnes,residential,space heating,natural gas,,mountain,0.0615244073522555,PM10.PRI,0.0523693936815572,0.0534004707283271,0.0561953762563398,0.0589257172083738
