TableNum,RowNum,table_row,Sector,Sector_shortname,SCC_21,SO2 2005-2010,SO2 2010-2015,SO2 2015-2020,SO2 2020-2055,NOX 2005-2010,NOX 2010-2015,NOX 2015-2020,NOX 2020-2055,PM10-PRI 2005-2010,PM10-PRI 2010-2015,PM10-PRI 2015-2020,PM10-PRI 2020-2055,PM25-PRI 2005-2010,PM25-PRI 2010-2015,PM25-PRI 2015-2020,PM25-PRI 2020-2055,VOC 2005-2010,VOC 2010-2015,VOC 2015-2020,VOC 2020-2055,CO 2005-2010,CO 2010-2015,CO 2015-2020,CO 2020-2055,BC 2005-2010,BC 2010-2015,BC 2015-2020,BC 2020-2055,OC 2005-2010,OC 2010-2015,OC 2015-2020,OC 2020-2055,CO2 2005-2010,CO2 2010-2015,CO2 2015-2020,CO2 2020-2055,CH4 2005-2010,CH4 2010-2015,CH4 2015-2020,CH4 2020-2055
4,38,4_38,Residential : Natural Gas : Space Heating,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,39,4_39,Residential : Natural Gas : Space Cooling,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,40,4_40,Residential : Natural Gas : Water Heating,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,41,4_41,Residential : Natural Gas : Cooking,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,42,4_42,Residential : Natural Gas : Clothes Dryers,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,43,4_43,Residential : Natural Gas : Other Uses,Residential,2104006000,0.264485347,0.264485347,0.264485347,0.264485347,41.43603772,41.43603772,41.43603772,41.43603772,0.229220634,0.229220634,0.229220634,0.229220634,0.189547832,0.189547832,0.189547832,0.189547832,2.424449016,2.424449016,2.424449016,2.424449016,17.63235648,17.63235648,17.63235648,17.63235648,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,47,4_47,Residential : Distillate Fuel Oil : Space Heating,Residential,2104004000,139.3248874,139.3248874,139.3248874,139.3248874,58.86967073,58.86967073,58.86967073,58.86967073,7.783878686,7.783878686,7.783878686,7.783878686,6.96624437,6.96624437,6.96624437,6.96624437,2.289376084,2.289376084,2.289376084,2.289376084,16.35268631,16.35268631,16.35268631,16.35268631,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,48,4_48,Residential : Distillate Fuel Oil : Water Heating,Residential,2104004000,139.3248874,139.3248874,139.3248874,139.3248874,58.86967073,58.86967073,58.86967073,58.86967073,7.783878686,7.783878686,7.783878686,7.783878686,6.96624437,6.96624437,6.96624437,6.96624437,2.289376084,2.289376084,2.289376084,2.289376084,16.35268631,16.35268631,16.35268631,16.35268631,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,49,4_49,Residential : Distillate Fuel Oil : Other Uses,Residential,2104004000,139.3248874,139.3248874,139.3248874,139.3248874,58.86967073,58.86967073,58.86967073,58.86967073,7.783878686,7.783878686,7.783878686,7.783878686,6.96624437,6.96624437,6.96624437,6.96624437,2.289376084,2.289376084,2.289376084,2.289376084,16.35268631,16.35268631,16.35268631,16.35268631,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,53,4_53,Residential : Propane : Space Heating,Residential,2104000000,0.29695853,0.29695853,0.29695853,0.29695853,66.32073835,66.32073835,66.32073835,66.32073835,0.247465442,0.247465442,0.247465442,0.247465442,0.197972353,0.197972353,0.197972353,0.197972353,2.573640593,2.573640593,2.573640593,2.573640593,18.80737356,18.80737356,18.80737356,18.80737356,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
