Scenario,Year,RegionNum,Geogr,SubDat,Fuel,Description,Unit,value
refnocpp,2009,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.008998278
refnocpp,2009,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.247172302
refnocpp,2010,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.008340076
refnocpp,2010,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.244162147
refnocpp,2011,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.007991932
refnocpp,2011,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.240681064
refnocpp,2012,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.01185419
refnocpp,2012,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.202470794
refnocpp,2013,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.013173871
refnocpp,2013,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.228486195
refnocpp,2014,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.004618412
refnocpp,2014,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.182157932
refnocpp,2015,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.001648909
refnocpp,2015,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.081389009
refnocpp,2016,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.001347331
refnocpp,2016,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.004223151
refnocpp,2017,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.001286382
refnocpp,2017,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.003960107
refnocpp,2018,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.002734656
refnocpp,2018,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.018109017
refnocpp,2019,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.004862188
refnocpp,2019,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.02793315
refnocpp,2020,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.006175067
refnocpp,2020,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.038480467
refnocpp,2021,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.006190425
refnocpp,2021,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.029329907
refnocpp,2022,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.006355973
refnocpp,2022,1,texas regional entity,sulfur dioxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.028966342
refnocpp,2023,1,texas regional entity,nitrogen oxide,coal,Coal for units characterized as B100 Unscb-BH -Any-,million short tons,0.00636011
